         37994448 function calls (37476797 primitive calls) in 57.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/5    0.054    0.009   40.004    8.001 threading.py:637(wait)
       10    0.419    0.042   35.754    3.575 agent.py:14(run)
      488    0.015    0.000   35.448    0.073 __init__.py:1(<module>)
     5000    1.167    0.000   21.509    0.004 agent.py:52(act)
      6/5    0.025    0.004   20.048    4.010 threading.py:323(wait)
180720/5020    0.403    0.000   18.631    0.004 module.py:1772(_wrapped_call_impl)
180720/5020    0.614    0.000   18.607    0.004 module.py:1780(_call_impl)
     5010    0.014    0.000   17.921    0.004 agent.py:44(action_logits)
     5010    0.043    0.000   17.832    0.004 neural_nets.py:26(forward)
25100/10040    0.281    0.000   16.820    0.002 container.py:248(forward)
     5020    0.012    0.000   14.549    0.003 neural_nets.py:122(forward)
     5000    0.013    0.000   13.535    0.003 rendering.py:359(step)
     5000    0.012    0.000   13.522    0.003 common.py:112(step)
     5000    0.025    0.000   13.510    0.003 common.py:389(step)
     5000    0.005    0.000   13.485    0.003 core.py:323(step)
     5000    0.010    0.000   13.480    0.003 common.py:277(step)
     5000    0.235    0.000   13.469    0.003 api.py:61(step)
     4884    0.014    0.000   12.394    0.003 api.py:189(_reveal_fov)
     4884    6.134    0.001   12.260    0.003 grid.py:101(add_cone)
    15060    0.703    0.000   11.732    0.001 neural_nets.py:174(forward)
    50200    0.110    0.000    7.877    0.000 conv.py:552(forward)
    50200    0.102    0.000    7.714    0.000 conv.py:534(_conv_forward)
    50200    7.612    0.000    7.612    0.000 {built-in method torch.conv2d}
     5150    3.704    0.001    5.618    0.001 {method 'to' of 'torch._C.TensorBase' objects}
       12    0.000    0.000    5.222    0.435 api.py:1(<module>)
        1    0.000    0.000    4.168    4.168 cell_states.py:1(<module>)
        1    0.000    0.000    3.888    3.888 robot.py:1(<module>)
        2    0.000    0.000    3.828    1.914 __init__.py:2808(registerOp)
  3494304    2.256    0.000    3.469    0.000 grid.py:21(coords_to_grid)
        1    0.000    0.000    2.931    2.931 agent.py:38(__init__)
        2    0.000    0.000    2.899    1.450 module.py:1251(to)
     72/2    0.002    0.000    2.899    1.450 module.py:930(_apply)
        1    0.000    0.000    2.885    2.885 neural_nets.py:7(__init__)
        1    0.000    0.000    2.838    2.838 actuators.py:1(<module>)
